Id,Label,Family,sourceTaxonName,targetTaxonFamilyName
488,Barbatula barbatula,Nemacheilidae,1.0,
489,Bassaricyon gabbii,Procyonidae,1.0,
490,Bassariscus astutus,Procyonidae,7.0,
491,Bathyporeia pilosa,Pontoporeiidae,1.0,
492,Beckmannia syzigachne,Poaceae,1.0,
493,Bemisia tabaci,Aleyrodidae,1.0,
494,Benincasa fistulosa,Cucurbitaceae,1.0,
495,Betula papyrifera,Betulaceae,1.0,
496,Bidens cernua,Asteraceae,1.0,
497,Bidens frondosa,Asteraceae,1.0,
498,Biomphalaria glabrata,Planorbidae,2.0,
499,Bison bison,Bovidae,9.0,
500,Bison bonasus,Bovidae,9.0,
501,Bithynia leachii,Bithyniidae,2.0,
502,Bittiolum varium,Cerithiidae,1.0,
503,Bittium quadrifilatum,Cerithiidae,1.0,
504,Blaps appendiculata,Tenebrionidae,2.0,
505,Blaps emondi,Tenebrionidae,2.0,
506,Blarina brevicauda,Soricidae,6.0,
507,Blarina carolinensis,Soricidae,2.0,
508,Blastocerus dichotomus,Cervidae,4.0,
509,Blattella germanica,Ectobiidae,6.0,
510,Blicca bjoerkna,Cyprinidae,1.0,
511,Boccardia syrtis,Spionidae,2.0,
512,Bodiloides ictericus,Aphodiidae,2.0,
513,Bolboschoenus fluviatilis,Cyperaceae,1.0,
514,Bolboschoenus maritimus,Cyperaceae,1.0,
515,Bolboschoenus robustus,Cyperaceae,2.0,
516,Bombycilla cedrorum,Bombycillidae,1.0,
517,Bombyx mori,Bombycidae,4.0,
518,Bonasa umbellus,Phasianidae,6.0,
519,Boonea bisuturalis,Pyramidellidae,1.0,
520,Bos frontalis,Bovidae,1.0,
521,Bos grunniens,Bovidae,2.0,
522,Bos taurus,Bovidae,53.0,
523,Botaurus lentiginosus,Ardeidae,4.0,
524,Botaurus poiciloptilus,Ardeidae,1.0,
525,Bouteloua gracilis,Poaceae,1.0,
526,Brachiaria fasciculata,Poaceae,1.0,
527,Brachiaria texana,Poaceae,1.0,
